componente;i;j;classe;z_m;y_m;T_met_int_C;T_met_est_C;T_met_media_C;dT_spessore_K;p_int_bar;p_est_bar;sZ_membr_MPa;sZ_termico_MPa;sZ_pressione_MPa;punto;r_mm;sigma_R_MPa;sigma_theta_MPa;sigma_Z_MPa;sigma_VM_MPa;sigma_Tresca_MPa;Sy_MPa;utilizzo_pc
TUBI;0;0;0;0.007;-0.7843;343.60;337.45;340.35;6.16;34.740;117.840;6.812;-35.966;42.779;interna;16.00;-3.474;-71.368;-4.662;67.308;67.894;210.9;31.91
TUBI;0;0;0;0.007;-0.7843;343.60;337.45;340.35;6.16;34.740;117.840;6.812;-35.966;42.779;media;17.52;-8.640;-54.885;6.655;55.497;61.541;210.9;26.31
TUBI;0;0;0;0.007;-0.7843;343.60;337.45;340.35;6.16;34.740;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.369;17.028;50.574;58.396;210.9;23.98
TUBI;1;0;0;0.022;-0.7843;343.58;337.43;340.33;6.15;34.725;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.365;-4.650;67.312;67.893;210.9;31.91
TUBI;1;0;0;0.022;-0.7843;343.58;337.43;340.33;6.15;34.725;117.840;6.812;-35.966;42.779;media;17.52;-8.639;-54.893;6.656;55.505;61.549;210.9;26.31
TUBI;1;0;0;0.022;-0.7843;343.58;337.43;340.33;6.15;34.725;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.386;17.018;50.581;58.404;210.9;23.98
TUBI;2;0;0;0.037;-0.7843;343.56;337.42;340.31;6.14;34.725;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.354;-4.639;67.306;67.882;210.9;31.91
TUBI;2;0;0;0.037;-0.7843;343.56;337.42;340.31;6.14;34.725;117.840;6.812;-35.966;42.779;media;17.52;-8.638;-54.894;6.656;55.506;61.550;210.9;26.31
TUBI;2;0;0;0.037;-0.7843;343.56;337.42;340.31;6.14;34.725;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.397;17.007;50.581;58.404;210.9;23.98
TUBI;3;0;0;0.053;-0.7843;343.54;337.40;340.29;6.14;34.724;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.342;-4.626;67.300;67.870;210.9;31.90
TUBI;3;0;0;0.053;-0.7843;343.54;337.40;340.29;6.14;34.724;117.840;6.812;-35.966;42.779;media;17.52;-8.638;-54.895;6.656;55.507;61.550;210.9;26.31
TUBI;3;0;0;0.053;-0.7843;343.54;337.40;340.29;6.14;34.724;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.408;16.996;50.581;58.404;210.9;23.98
TUBI;4;0;0;0.070;-0.7843;343.39;337.30;340.17;6.09;34.724;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.254;-4.538;67.255;67.782;211.0;31.88
TUBI;4;0;0;0.070;-0.7843;343.39;337.30;340.17;6.09;34.724;117.840;6.812;-35.966;42.779;media;17.52;-8.634;-54.897;6.657;55.511;61.554;211.0;26.31
TUBI;4;0;0;0.070;-0.7843;343.39;337.30;340.17;6.09;34.724;117.840;6.812;-35.966;42.779;esterna;19.05;-11.784;-41.487;16.918;50.582;58.404;211.0;23.98
TUBI;5;0;0;0.087;-0.7843;343.26;337.21;340.06;6.05;34.723;117.840;6.812;-35.966;42.779;interna;16.00;-3.472;-71.180;-4.464;67.217;67.708;211.0;31.86
TUBI;5;0;0;0.087;-0.7843;343.26;337.21;340.06;6.05;34.723;117.840;6.812;-35.966;42.779;media;17.52;-8.631;-54.899;6.658;55.515;61.558;211.0;26.31
