i;j;z_m;y_m;n_tubi;T_gas_C;p_gas_bar;v_gas_ms;Re_gas;h_conv_Wm2K;h_rad_Wm2K;eps_gas;x_in;x_out;alpha;G_cross_kgm2s;v_cross_ms;h_boil_Wm2K;U_o_Wm2K;q_lin_Wm;q_int_kWm2;q_est_kWm2;T_met_int_C;T_met_mid_C;T_met_est_C;T_met_media_spessore_C;T_parete_bollente_C;dT_superheat_K;dT_deposito_K;dT_met_sat_K;q_CHF_loc_kWm2;DNBR;ferrula
0;0;0.007;-0.7843;38.2;967.50;34.7400;33.112;105336;2280.2;41.73;0.1164;0.00000;0.00415;0.0140;390.20;0.603;18111.3;107.1;8255.7;98.42;68.97;343.60;340.39;337.45;340.35;327.10;3.808;10.35;14.15;313;4.54;1
0;1;0.007;-0.6417;66.6;967.50;34.7400;33.112;105336;2280.3;41.73;0.1164;0.00415;0.01137;0.0445;224.22;0.363;22839.0;107.2;8263.2;98.51;69.04;342.83;339.61;336.67;339.57;326.31;3.023;10.36;13.38;311;4.50;1
0;2;0.007;-0.4991;82.0;967.50;34.7400;33.112;105336;2280.4;41.73;0.1164;0.01137;0.02026;0.0816;181.99;0.314;25330.5;107.2;8266.0;98.54;69.06;342.54;339.32;336.38;339.28;326.02;2.726;10.36;13.09;308;4.46;1
0;3;0.007;-0.3565;91.9;967.50;34.7400;33.112;105336;2280.4;41.73;0.1164;0.02026;0.03024;0.1199;162.45;0.300;26863.5;107.2;8267.5;98.56;69.07;342.39;339.17;336.22;339.13;325.86;2.571;10.36;12.93;305;4.41;1
0;4;0.007;-0.2139;76.9;967.50;34.7400;33.112;105336;2280.3;41.73;0.1164;0.03024;0.03858;0.1647;194.00;0.382;24176.6;107.2;8264.8;98.53;69.05;342.67;339.45;336.50;339.41;326.15;2.856;10.36;13.21;302;4.37;1
0;5;0.007;-0.0713;68.4;967.50;34.7400;33.112;105336;2280.3;41.73;0.1164;0.03858;0.04600;0.2008;218.11;0.452;22199.2;107.2;8262.4;98.50;69.03;342.92;339.70;336.75;339.66;326.40;3.110;10.35;13.46;300;4.34;1
0;6;0.007;0.0713;68.4;967.50;34.7400;33.112;105336;2280.3;41.73;0.1164;0.04600;0.05343;0.2279;218.11;0.473;21696.3;107.1;8261.7;98.49;69.02;342.99;339.77;336.83;339.73;326.47;3.181;10.35;13.53;297;4.31;1
0;7;0.007;0.2139;76.9;967.50;34.7400;33.112;105336;2280.3;41.73;0.1164;0.05343;0.06177;0.2479;194.00;0.441;22391.6;107.2;8262.6;98.50;69.03;342.89;339.67;336.73;339.63;326.37;3.083;10.35;13.44;295;4.27;1
0;8;0.007;0.3565;91.9;967.50;34.7400;33.112;105336;2280.3;41.73;0.1164;0.06177;0.07174;0.2642;162.45;0.389;23744.7;107.2;8264.3;98.52;69.04;342.72;339.50;336.56;339.46;326.20;2.908;10.36;13.26;292;4.22;1
0;9;0.007;0.4991;82.0;967.50;34.7400;33.112;105336;2280.3;41.73;0.1164;0.07174;0.08063;0.2988;181.99;0.458;22025.4;107.1;8262.1;98.50;69.03;342.94;339.73;336.78;339.68;326.42;3.134;10.35;13.49;289;4.18;1
0;10;0.007;0.6417;66.6;967.50;34.7400;33.112;105336;2280.3;41.73;0.1164;0.08063;0.08785;0.3347;224.22;0.588;19921.0;107.1;8259.0;98.46;69.00;343.26;340.05;337.10;340.01;326.75;3.464;10.35;13.81;287;4.15;1
0;11;0.007;0.7843;38.2;967.50;34.7400;33.112;105336;2280.2;41.73;0.1164;0.08785;0.09199;0.3801;390.20;1.052;17470.7;107.0;8254.4;98.41;68.96;343.74;340.53;337.58;340.48;327.24;3.947;10.34;14.29;285;4.14;1
1;0;0.022;-0.7843;38.2;966.99;34.7249;33.113;105368;2279.8;41.69;0.1164;0.00000;0.00415;0.0140;389.82;0.602;18109.6;107.0;8247.6;98.33;68.91;343.58;340.37;337.43;340.33;327.10;3.805;10.34;14.14;313;4.54;1
1;1;0.022;-0.6417;66.6;966.99;34.7249;33.113;105368;2279.9;41.68;0.1164;0.00415;0.01137;0.0445;224.01;0.363;22837.4;107.1;8255.1;98.41;68.97;342.81;339.60;336.66;339.55;326.31;3.020;10.35;13.37;311;4.50;1
1;2;0.022;-0.4991;82.0;966.99;34.7249;33.113;105368;2280.0;41.68;0.1164;0.01137;0.02026;0.0816;181.81;0.314;25328.1;107.2;8257.9;98.45;68.99;342.52;339.31;336.36;339.26;326.01;2.724;10.35;13.07;308;4.46;1
1;3;0.022;-0.3565;91.9;966.99;34.7249;33.113;105368;2280.0;41.68;0.1164;0.02026;0.03024;0.1198;162.29;0.300;26860.5;107.2;8259.4;98.47;69.00;342.37;339.16;336.21;339.11;325.86;2.569;10.35;12.92;305;4.41;1
1;4;0.022;-0.2139;76.9;966.99;34.7249;33.113;105368;2279.9;41.68;0.1164;0.03024;0.03858;0.1647;193.81;0.382;24174.7;107.2;8256.7;98.43;68.98;342.65;339.44;336.49;339.39;326.14;2.853;10.35;13.20;302;4.38;1
1;5;0.022;-0.0713;68.4;966.99;34.7249;33.113;105368;2279.9;41.68;0.1164;0.03858;0.04600;0.2008;217.89;0.451;22197.7;107.1;8254.3;98.40;68.96;342.90;339.69;336.74;339.64;326.40;3.107;10.34;13.45;300;4.35;1
1;6;0.022;0.0713;68.4;966.99;34.7249;33.113;105368;2279.9;41.68;0.1164;0.04600;0.05343;0.2279;217.89;0.473;21694.7;107.1;8253.6;98.40;68.96;342.97;339.76;336.81;339.71;326.47;3.178;10.34;13.52;297;4.31;1
1;7;0.022;0.2139;76.9;966.99;34.7249;33.113;105368;2279.9;41.68;0.1164;0.05343;0.06177;0.2478;193.81;0.440;22390.0;107.1;8254.5;98.41;68.96;342.87;339.66;336.72;339.61;326.37;3.080;10.34;13.42;295;4.27;1
1;8;0.022;0.3565;91.9;966.99;34.7249;33.113;105368;2279.9;41.68;0.1164;0.06177;0.07174;0.2641;162.29;0.388;23742.8;107.2;8256.2;98.43;68.98;342.70;339.49;336.54;339.44;326.20;2.905;10.35;13.25;292;4.23;1
1;9;0.022;0.4991;82.0;966.99;34.7249;33.113;105368;2279.9;41.68;0.1164;0.07174;0.08063;0.2988;181.81;0.457;22023.7;107.1;8254.0;98.40;68.96;342.92;339.71;336.77;339.66;326.42;3.131;10.34;13.47;289;4.19;1
1;10;0.022;0.6417;66.6;966.99;34.7249;33.113;105368;2279.9;41.69;0.1164;0.08063;0.08785;0.3346;224.01;0.587;19919.3;107.1;8250.9;98.37;68.93;343.24;340.03;337.09;339.99;326.75;3.461;10.34;13.80;287;4.16;1
1;11;0.022;0.7843;38.2;966.99;34.7249;33.113;105368;2279.8;41.69;0.1164;0.08785;0.09199;0.3800;389.82;1.051;17466.9;107.0;8246.3;98.31;68.89;343.72;340.51;337.57;340.47;327.24;3.944;10.33;14.28;285;4.14;1
2;0;0.037;-0.7843;38.2;966.46;34.7245;33.099;105402;2279.4;41.65;0.1165;0.00000;0.00415;0.0140;389.42;0.602;18107.8;107.0;8239.2;98.23;68.84;343.56;340.36;337.42;340.31;327.09;3.801;10.33;14.13;313;4.54;1
