z_m;T_gas_med_C;T_gas_min_C;T_gas_max_C;q_med_kWm2;q_max_kWm2;T_met_int_max_C;T_met_est_max_C;vapore_lin_kgsm;duty_lin_kWm;w_field_kgsm;w_bypass_kgsm;x_top;alpha_top;G_cross;v_liq_in_ms;v_mix_out_ms;v_vap_out_ms;v_ax_bottom_ms;v_ax_top_ms;DNBR_min;vapore_cum_kgh;duty_cum_MW
0.007;967.50;967.50;967.50;69.03;69.07;343.74;337.58;5.8019;7006.84;63.07;0.00;0.09199;0.3854;390.20;0.5923;1.0626;1.362;2.5404;5.1544;4.14;301.7;0.101
0.022;966.99;966.99;966.99;68.96;69.00;343.72;337.57;5.7962;6999.97;63.01;0.00;0.09199;0.3854;389.82;0.5917;1.0615;1.360;2.5284;5.1329;4.14;615.5;0.206
0.037;966.45;966.45;966.46;68.89;68.93;343.70;337.56;5.7903;6992.83;62.94;0.00;0.09199;0.3853;389.42;0.5911;1.0605;1.359;2.5159;5.1105;4.14;941.9;0.316
0.053;965.90;965.90;965.90;68.82;68.86;343.68;337.54;5.7842;6985.40;62.88;0.00;0.09199;0.3853;389.00;0.5905;1.0593;1.358;2.5029;5.0872;4.15;1281.4;0.430
0.070;965.32;965.32;965.33;68.29;68.33;343.53;337.44;5.7395;6931.42;62.39;0.00;0.09199;0.3849;386.00;0.5859;1.0511;1.349;2.4894;5.0629;4.18;1632.3;0.548
0.087;964.73;964.73;964.73;67.85;67.89;343.40;337.35;5.7029;6887.28;61.99;0.00;0.09199;0.3846;383.54;0.5822;1.0444;1.341;2.4755;5.0379;4.21;1995.3;0.669
0.105;964.11;964.11;964.11;67.49;67.52;343.30;337.28;5.6719;6849.87;61.66;0.00;0.09199;0.3844;381.46;0.5790;1.0388;1.335;2.4610;5.0120;4.23;2371.2;0.795
0.124;963.47;963.47;963.48;67.16;67.20;343.21;337.22;5.6449;6817.16;61.36;0.00;0.09199;0.3842;379.64;0.5763;1.0338;1.329;2.4461;4.9851;4.25;2760.8;0.926
0.144;962.81;962.81;962.81;66.87;66.91;343.13;337.16;5.6206;6787.86;61.10;0.00;0.09199;0.3840;378.00;0.5738;1.0294;1.324;2.4306;4.9573;4.27;3164.7;1.062
0.164;962.12;962.12;962.13;66.61;66.65;343.05;337.11;5.5984;6761.11;60.86;0.00;0.09199;0.3838;376.51;0.5715;1.0253;1.319;2.4145;4.9285;4.29;3583.7;1.202
0.185;961.41;961.41;961.42;66.37;66.40;342.98;337.06;5.5779;6736.28;60.63;0.00;0.09199;0.3836;375.13;0.5694;1.0215;1.315;2.3978;4.8986;4.30;4018.4;1.348
0.207;960.67;960.67;960.68;393.16;396.05;431.62;395.56;33.0439;39906.26;359.20;0.00;0.09199;0.4270;2222.31;3.3734;6.0517;6.999;2.3805;4.8676;0.72;6699.6;2.247
0.230;956.11;956.09;956.12;386.43;389.20;429.81;394.40;32.4784;39223.36;353.06;0.00;0.09199;0.4268;2184.28;3.3157;5.9482;6.882;2.2738;4.6761;0.73;9443.9;3.168
0.254;951.44;951.38;951.45;380.04;382.70;428.10;393.29;31.9414;38574.78;347.22;0.00;0.09199;0.4267;2148.16;3.2609;5.8498;6.771;2.1646;4.4802;0.75;12254.2;4.111
0.279;946.65;946.56;946.66;373.92;376.47;426.46;392.22;31.4267;37953.23;341.62;0.00;0.09199;0.4265;2113.55;3.2083;5.7556;6.665;2.0528;4.2796;0.76;15133.4;5.077
0.305;941.74;941.61;941.76;368.01;370.46;424.88;391.20;30.9301;37353.47;336.22;0.00;0.09199;0.4263;2080.15;3.1576;5.6646;6.562;1.9382;4.0741;0.77;18084.2;6.067
0.332;936.70;936.54;936.72;362.27;364.62;423.34;390.20;30.4477;36770.96;330.98;0.00;0.09199;0.4262;2047.71;3.1084;5.5763;6.462;1.8208;3.8635;0.78;21108.8;7.081
