apertura_gradi;chiusura_gradi;zeta;frazione_bypass_pc;w_bypass_kgs;rho_kgm3;v_liner_ms;v_vena_ms;Mach;rhov2_vena_Pa;dp_valvola_mbar;dp_bypass_tot_mbar;dp_fascio_mbar;T_out_tubi_C;T_out_bypass_C;T_miscelata_C;potenza_MW;vapore_th;T_liner_max_C;nota
5.00;85.00;18960.066;0.2215;0.1892;9.581;0.332;45.78;0.0635;20081;100.41;100.44;100.44;348.67;463.44;349.47;117.544;350.4;469.5;
10.00;80.00;6463.085;0.3581;0.3059;8.561;0.601;48.36;0.0634;20019;100.09;100.15;100.15;348.61;549.85;349.91;117.465;350.2;559.6;
15.00;75.00;2203.129;0.5564;0.4753;7.080;1.130;53.05;0.0647;19923;99.62;99.74;99.74;348.53;675.34;350.54;117.349;349.8;690.4;
17.35;72.65;1328.501;0.6930;0.5920;6.647;1.499;54.65;0.0652;19852;99.26;99.46;99.46;348.47;720.08;351.16;117.237;349.5;725.1;MINIMO
20.00;70.00;751.000;0.9022;0.7706;6.405;2.026;55.51;0.0650;19738;98.69;99.02;99.02;348.38;758.64;352.24;117.041;348.9;738.3;
24.45;65.55;288.173;1.4078;1.2026;6.079;3.331;56.54;0.0645;19433;97.17;97.98;97.98;348.17;814.97;355.00;116.540;347.4;762.1;NORMALE
25.00;65.00;256.000;1.4867;1.2699;6.038;3.541;56.66;0.0644;19382;96.91;97.82;97.82;348.14;822.38;355.43;116.461;347.2;765.5;
25.13;64.87;250.897;1.5000;1.2813;6.031;3.577;56.66;0.0644;19361;96.80;97.73;97.79;348.13;823.63;355.51;116.448;347.1;766.1;MASSIMO
30.00;60.00;118.000;1.5000;1.2813;6.031;3.577;38.86;0.0442;9106;45.53;46.45;97.79;348.13;823.63;355.51;116.448;347.1;766.1;
35.00;55.00;58.800;1.5000;1.2813;6.031;3.577;27.43;0.0312;4537;22.69;23.61;97.79;348.13;823.63;355.51;116.448;347.1;766.1;
40.00;50.00;32.600;1.5000;1.2813;6.031;3.577;20.42;0.0232;2516;12.58;13.50;97.79;348.13;823.63;355.51;116.448;347.1;766.1;
50.00;40.00;10.800;1.5000;1.2813;6.031;3.577;11.76;0.0134;833;4.17;5.09;97.79;348.13;823.63;355.51;116.448;347.1;766.1;
60.00;30.00;3.910;1.5000;1.2813;6.031;3.577;7.07;0.0080;302;1.51;2.43;97.79;348.13;823.63;355.51;116.448;347.1;766.1;
70.00;20.00;1.540;1.5000;1.2813;6.031;3.577;4.44;0.0050;119;0.59;1.52;97.79;348.13;823.63;355.51;116.448;347.1;766.1;
90.00;0.00;0.200;1.5000;1.2813;6.031;3.577;1.60;0.0018;15;0.08;1.00;97.79;348.13;823.63;355.51;116.448;347.1;766.1;
